TargetID,ProbeID,9993942002_A.AVG_Signal,9993942002_A.Detection Pval,9993942002_A.BEAD_STDERR,9993942002_A.Avg_NBEADS,9993942002_B.AVG_Signal,9993942002_B.Detection Pval,9993942002_B.BEAD_STDERR,9993942002_B.Avg_NBEADS,9993942002_C.AVG_Signal,9993942002_C.Detection Pval,9993942002_C.BEAD_STDERR,9993942002_C.Avg_NBEADS,9993942002_D.AVG_Signal,9993942002_D.Detection Pval,9993942002_D.BEAD_STDERR,9993942002_D.Avg_NBEADS,9993942002_E.AVG_Signal,9993942002_E.Detection Pval,9993942002_E.BEAD_STDERR,9993942002_E.Avg_NBEADS,9993942002_F.AVG_Signal,9993942002_F.Detection Pval,9993942002_F.BEAD_STDERR,9993942002_F.Avg_NBEADS,9993942002_G.AVG_Signal,9993942002_G.Detection Pval,9993942002_G.BEAD_STDERR,9993942002_G.Avg_NBEADS,9993942002_H.AVG_Signal,9993942002_H.Detection Pval,9993942002_H.BEAD_STDERR,9993942002_H.Avg_NBEADS
BIOTIN,2900458,55674.38,0,2197.404,33,54719.95,0,2287.244,29,56440.05,0,1837.173,23,54845.87,0,1572.766,37,52802.34,0,1731.474,42,56988.17,0,1407.519,44,52328.07,0,2234.222,30,53441.39,0,2770.604,25
BIOTIN,7200743,51711.22,0,1188.344,112,49297.38,0,1439.709,95,49218.34,0,1257.292,107,52526.59,0,1268.738,93,48325.04,0,1270.227,112,47068.64,0,1152.873,113,53079.07,0,1242.179,110,49587.53,0,1151.023,122
CY3_HYB,730475,1599.018,0,54.84089,110,1644.567,0,43.35109,133,1697.711,0,57.08868,110,1591.835,0,39.7206,116,1555.361,0,44.8758,113,1671.419,0,62.74292,96,1577.778,0,38.74938,121,1924.143,0,60.03403,108
CY3_HYB,1400044,23431.28,0,895.4808,72,23685.06,0,774.1428,77,22246.57,0,909.0846,71,23893.95,0,723.8525,83,22921.31,0,751.8403,83,22142.78,0,1017.084,58,23337.59,0,696.6257,84,24851.21,0,951.7336,65
CY3_HYB,2600040,15512.98,0,602.3146,67,14862.7,0,622.6201,67,14714.07,0,659.3812,64,14910.15,0,552.5098,69,13964.2,0,404.0592,67,12154.93,0,394.6093,60,15093.43,0,543.7607,60,16472.63,0,641.5479,66
CY3_HYB,5820544,1459.384,0,74.77442,44,1456.026,0,83.14406,34,1313.171,0,56.34758,34,1374.804,0,61.93396,30,1347.245,0,68.88667,46,1332.017,0,48.17559,37,1427.443,0,67.6228,34,1485.891,0,88.79778,37
CY3_HYB,6450180,50358.79,0,1331.972,112,54161.04,0,1252.15,107,55196.68,0,1080.197,107,53953.27,0,1226.266,103,52642.96,0,1459.876,95,52537.82,0,1209.133,101,52761.73,0,1161.901,115,54517.3,0,1205.937,109
HOUSEKEEPING,10220,211.4366,0.1378446,5.986383,94,223.407,0.07894737,6.969051,98,202.5022,0.2130326,6.720241,86,209.5591,0.141604,6.613028,83,216.6032,0.1140351,7.302366,111,210.9469,0.1378446,6.139977,91,217.8458,0.1390978,6.330019,94,245.5865,0.06265664,6.93527,83
HOUSEKEEPING,520379,48339.05,0,1121.087,115,63960.2,0,515.7247,85,36270.59,0,950.3862,111,43320.07,0,957.749,119,37084.17,0,897.1255,112,31115.71,0,771.8091,111,47258.44,0,1067.25,126,50766.65,0,1197.795,99
HOUSEKEEPING,1010296,3824.789,0,238.554,33,4718.772,0,154.3789,44,4587.256,0,135.9644,42,4919.555,0,183.9423,44,4870.178,0,240.2958,26,4818.019,0,205.4598,40,5529.762,0,232.3823,32,5327.856,0,193.5098,36
HOUSEKEEPING,1030133,2467.598,0,64.30884,105,2211.586,0,57.76619,93,2744.382,0,76.7026,89,2913.22,0,71.60139,102,3098.112,0,68.94669,116,3454.468,0,80.70065,126,4190.353,0,81.15179,125,3785.454,0,108.776,79
HOUSEKEEPING,1690689,68531.3,0,550.3937,106,69647.07,0,460.5116,98,69493.37,0,510.6394,96,68912.62,0,485.3981,102,69850.53,0,538.8108,123,68048.38,0,545.5939,124,69211.88,0,524.387,111,70027.96,0,442.9458,105
HOUSEKEEPING,2260521,28612.24,0,976.9437,75,31834.75,0,807.1356,61,40934.44,0,1103.583,82,30880.72,0,884.7242,67,36956.72,0,911.5482,62,31754.5,0,908.2401,63,32614.83,0,759.1217,79,32456.52,0,827.5914,61
HOUSEKEEPING,2470521,37486.29,0,1003.725,115,55939.31,0,930.83,84,26958.6,0,885.1254,87,31564.88,0,889.0571,108,29188.35,0,706.8384,108,24831.54,0,647.0089,111,37404.52,0,941.9198,85,39736.35,0,981.2682,108
HOUSEKEEPING,2680722,869.8161,0,31.6824,108,311.3546,0.005012531,10.39782,97,1198.48,0,36.85184,111,629.6282,0,19.32704,129,854.7883,0,28.8631,108,602.038,0,21.05447,117,420.2379,0,12.87312,121,432.5541,0,14.32128,98
HOUSEKEEPING,4640114,57342.99,0,961.0937,82,48595.75,0,1411.596,67,62356.44,0,1057.005,66,55815.81,0,963.0986,82,58994.69,0,1134.264,64,56614.55,0,875.2192,63,53682.58,0,1482.42,65,57864.66,0,1160.6,54
HOUSEKEEPING,4830750,292.3128,0.0112782,11.26075,85,305.5659,0.007518797,6.615821,116,274.6271,0.03132832,6.594995,122,270.9271,0.01253133,8.82664,93,257.8365,0.03383459,8.398941,88,265.252,0.02631579,6.706403,122,285.0673,0.01879699,7.484995,126,318.6342,0.007518797,8.172979,100
HOUSEKEEPING,5870154,38866.44,0,1121.089,109,37902.04,0,851.1848,102,33707.4,0,838.9952,99,36246.01,0,762.7031,108,32041.38,0,709.087,98,32873.77,0,649.2529,116,38460.67,0,744.0536,120,38756.59,0,889.8815,96
HOUSEKEEPING,5960379,56471.41,0,2690.525,25,60514.1,0,1485.341,22,63258.98,0,854.6664,20,60286.06,0,1086.848,32,61404.41,0,972.0482,26,59552.7,0,1201.625,41,61784.07,0,906.8051,30,63283.82,0,934.5046,17
HOUSEKEEPING,6280626,68020.05,0,664.5287,87,69263.8,0,508.9941,69,69744.19,0,486.5797,97,67685.95,0,627.5161,76,70301.27,0,587.1747,77,68816.04,0,755.7196,78,68682.25,0,596.1512,62,69822.36,0,610.6061,51
HOUSEKEEPING,6940475,61432.75,0,791.7347,104,61958.63,0,849.0508,93,62897.52,0,821.6585,82,60785.58,0,762.8546,85,56780.81,0,974.7134,114,56450.84,0,906.7675,106,63398.08,0,599.1207,113,64157.04,0,758.4881,99
