TargetID,ProbeID,3999279026_A.AVG_Signal,3999279026_A.Detection Pval,3999279026_A.BEAD_STDERR,3999279026_A.Avg_NBEADS,3999279026_B.AVG_Signal,3999279026_B.Detection Pval,3999279026_B.BEAD_STDERR,3999279026_B.Avg_NBEADS,3999279026_C.AVG_Signal,3999279026_C.Detection Pval,3999279026_C.BEAD_STDERR,3999279026_C.Avg_NBEADS,3999279026_D.AVG_Signal,3999279026_D.Detection Pval,3999279026_D.BEAD_STDERR,3999279026_D.Avg_NBEADS,3999279026_E.AVG_Signal,3999279026_E.Detection Pval,3999279026_E.BEAD_STDERR,3999279026_E.Avg_NBEADS,3999279026_F.AVG_Signal,3999279026_F.Detection Pval,3999279026_F.BEAD_STDERR,3999279026_F.Avg_NBEADS,3999279026_G.AVG_Signal,3999279026_G.Detection Pval,3999279026_G.BEAD_STDERR,3999279026_G.Avg_NBEADS,3999279026_H.AVG_Signal,3999279026_H.Detection Pval,3999279026_H.BEAD_STDERR,3999279026_H.Avg_NBEADS
BIOTIN,2900458,62661.43,0,991.1567,36,59936.36,0,1810.409,30,57327.96,0,2568.231,26,59263.36,0,1569.12,30,54387.03,0,2242.723,34,60393.73,0,738.7283,21,61596.25,0,1367.467,28,59142.02,0,1439.487,39
BIOTIN,7200743,54699.85,0,1180.976,107,57060.12,0,834.4336,92,58365.2,0,1014.592,92,59342.4,0,907.0947,105,54523.31,0,1075.437,119,55759.02,0,934.8641,109,59574.3,0,988.8278,111,58559.57,0,973.3405,102
CY3_HYB,730475,2326.689,0,78.99092,110,2236.363,0,60.25283,100,2098.087,0,66.68008,111,2187.493,0,52.37665,124,2242.812,0,68.84915,117,2162.411,0,52.70898,149,2312.585,0,67.58054,114,2268.232,0,60.85339,105
CY3_HYB,1400044,28266.01,0,1257.084,65,29124.52,0,854.4493,62,25823.77,0,1007.448,63,27936.67,0,866.8033,90,26271.67,0,912.4363,78,26937.4,0,799.7419,95,28927,0,878.7723,93,26772.23,0,932.2513,74
CY3_HYB,2600040,18644.59,0,730.687,77,16642.27,0,702.0244,56,17367.23,0,690.3359,57,18389.88,0,626.9817,61,17322.34,0,585.9655,78,17790.49,0,666.9033,56,18400.89,0,672.2699,64,17787.7,0,650.7264,63
CY3_HYB,5820544,1643.429,0,80.89136,33,1726.7,0,95.86104,34,1645.24,0,74.06718,33,1622.933,0,113.9458,28,1695.624,0,75.11439,44,1360.19,0,68.87464,41,1387.277,0,78.17374,34,1595.434,0,102.1324,30
CY3_HYB,6450180,56083.82,0,965.5835,118,59232.25,0,1154.066,90,56920.95,0,1122.009,84,60646.41,0,937.7192,88,54692.5,0,1128.305,112,57902.66,0,908.9593,101,58644.32,0,978.7961,118,57755.29,0,1032.154,107
HOUSEKEEPING,10220,275.8048,0.02882206,8.8081,118,250.8705,0.04135338,9.963436,74,258.9524,0.01879699,7.895058,98,264.1503,0.03634085,11.0195,86,275.9567,0.05639098,9.629638,108,268.9545,0.05137845,8.849866,100,271.4453,0.02380952,9.217148,112,279.1026,0.03634085,10.60564,99
HOUSEKEEPING,520379,68326.79,0,500.4949,119,68407.4,0,550.8994,106,67983.02,0,607.0919,116,69834.16,0,519.5573,100,66786.67,0,574.2304,124,67293.39,0,555.3209,122,65615.09,0,764.2695,119,66072.48,0,567.2555,125
HOUSEKEEPING,1010296,4451.558,0,152.5778,32,4356.524,0,197.7823,34,4683.888,0,203.2616,24,4710.931,0,165.1063,37,4012.28,0,122.633,34,3973.518,0,181.3996,31,3918.115,0,171.6694,44,3605.545,0,153.2101,28
HOUSEKEEPING,1030133,2696.475,0,78.14822,89,2472.542,0,75.06303,69,2702.173,0,76.00453,97,2964.032,0,71.3642,102,3074.806,0,80.15617,103,3320.053,0,78.7318,103,3328.24,0,93.62424,106,3546.982,0,68.81662,106
HOUSEKEEPING,1690689,69781.31,0,419.9596,99,70681.72,0,392.0459,79,70260.41,0,368.3241,93,70637.09,0,331.1168,117,69515.18,0,397.2235,143,69905.34,0,455.6501,122,70326.28,0,513.8288,111,69577.42,0,496.6542,114
HOUSEKEEPING,2260521,43208.14,0,1395.677,69,46625.61,0,1346.823,68,29826.9,0,763.2542,89,28042.81,0,744.3741,66,29096.55,0,845.2916,80,27786.68,0,714.209,80,27370.28,0,779.1783,73,27384.2,0,727.5311,68
HOUSEKEEPING,2470521,64175.47,0,650.4521,92,63094.03,0,845.1127,78,63563.73,0,1166.298,77,66058.46,0,760.7374,87,59977.83,0,681.7148,123,60004.93,0,1035.053,99,60638.68,0,788.5051,110,57469.34,0,928.1857,111
HOUSEKEEPING,2680722,374.4091,0.002506266,9.506964,108,218.4282,0.1140351,7.568247,96,199.7576,0.1829574,7.004641,95,249.6071,0.05513784,7.56531,97,349.8927,0.01002506,15.74173,86,303.4186,0.02005013,10.673,87,317.6473,0.003759399,8.956351,107,287.0711,0.03132832,9.879114,88
HOUSEKEEPING,4640114,39137.86,0,779.9515,89,24526.92,0,728.5695,51,20083.46,0,784.7897,47,27522.79,0,733.6327,63,29955.22,0,750.6111,90,27393.96,0,709.4075,70,30486.85,0,877.0103,74,29933.65,0,797.6984,69
HOUSEKEEPING,4830750,352.7223,0.002506266,12.77068,96,293.5892,0.0112782,9.642713,88,329.0036,0.005012531,8.904099,120,333.6213,0.005012531,9.168027,133,326.6651,0.01629073,10.17055,107,352.0319,0.01002506,10.15581,124,326.6625,0.003759399,11.99434,115,311.5314,0.01629073,7.822512,106
HOUSEKEEPING,5870154,50087.98,0,864.6274,140,48784.94,0,954.4935,104,50708.84,0,1096.048,93,49769.81,0,1039.645,114,43308.2,0,1100.5,103,44040.54,0,1017.485,115,40410.37,0,914.3514,125,41054.03,0,970.7533,111
HOUSEKEEPING,5960379,62583.54,0,1335.074,21,64383.68,0,1399.706,21,57032.02,0,1952.666,24,52434.57,0,2256.135,21,48013.95,0,2713.656,19,43261.17,0,1926.732,22,51176.45,0,2190.215,26,52013.31,0,1676.409,23
HOUSEKEEPING,6280626,70868.57,0,507.9265,71,71546.05,0,545.0981,59,69565.24,0,457.0011,75,70412.85,0,436.3625,75,69854.5,0,416.2101,88,69568.43,0,498.6387,74,70113.14,0,501.286,73,68081.04,0,597.041,65
HOUSEKEEPING,6940475,68968.53,0,606.4603,99,68172.3,0,581.0082,118,68522.27,0,469.137,108,68976.38,0,616.0707,109,65622.2,0,587.6322,124,65698.73,0,609.6892,143,64737.69,0,828.7363,96,65340.41,0,613.1754,114
LABELING,780743,190.4581,0.3634085,6.697655,98,174.6217,0.4674186,6.084808,95,160.4861,0.6892231,5.052396,84,176.5075,0.4335839,6.458158,95,201.5292,0.4498747,7.150578,109,204.7774,0.3997494,8.556696,84,209.9339,0.1867168,8.737514,95,184.7452,0.60401,6.487913,91
LABELING,940722,183.0465,0.4511278,8.777086,58,148.5541,0.8746867,7.065264,51,171.8091,0.4774436,9.611907,42,151.7105,0.8508772,6.726726,57,167.5961,0.9035088,7.324531,69,200.3113,0.4573935,9.495281,63,160.2592,0.8784461,6.638458,58,171.5982,0.8132832,8.899655,59
LABELING,1940497,165.7021,0.7268171,5.320234,100,162.231,0.6666667,6.856012,87,172.0846,0.4686717,6.208519,97,162.6106,0.650376,6.786347,95,180.9763,0.7280702,6.577432,105,169.3183,0.9398496,5.008657,99,169.4898,0.6992481,5.718545,101,177.8818,0.7180451,6.301404,109
LABELING,4250634,170.69,0.6491228,7.434729,82,166.3724,0.593985,8.502242,66,170.5251,0.4937343,7.018637,83,165.2837,0.6127819,6.920625,91,198.7357,0.4736842,7.868495,101,209.2391,0.3533835,8.257143,99,187.2888,0.3947369,5.807834,116,191.4712,0.4899749,7.975729,73
LABELING,4670747,185.0383,0.4210526,6.12153,96,177.6357,0.414787,7.4111,85,206.2025,0.1629073,7.122688,109,189.9878,0.2681704,6.945113,90,201.6994,0.4486215,7.411795,73,221.3992,0.2481203,9.804557,101,193.7745,0.3170426,6.425658,100,200.9377,0.358396,7.872173,115
LABELING,5340458,169.0345,0.6704261,5.370725,120,155.84,0.7819549,5.383275,101,162.0822,0.6629072,5.784679,112,159.6995,0.716792,5.470167,97,182.6717,0.6929824,6.69745,109,184.476,0.7330827,5.990295,100,168.5973,0.7192982,5.185462,122,169.468,0.8433584,5.109727,109
LABELING,6180066,192.2677,0.3408521,7.058241,117,186.3327,0.3182957,6.900562,75,201.8789,0.1779449,8.065729,99,195.4342,0.2280702,8.447097,71,213.6591,0.3270677,7.937279,110,222.816,0.2368421,7.976716,106,196.1299,0.2907268,7.142796,107,206.6104,0.302005,8.101212,97
LABELING,7160747,158.6844,0.8320802,5.862847,111,159.1494,0.7205514,5.150421,83,153.6564,0.7844611,5.177815,96,155.0116,0.8082707,4.96426,102,176.2165,0.7994987,7.123029,93,174.7392,0.8822055,4.73289,104,173.5685,0.6215539,5.813874,121,179.8864,0.6904762,5.835056,106
LOW_STRINGENCY_HYB,1400044,28266.01,0,1257.084,65,29124.52,0,854.4493,62,25823.77,0,1007.448,63,27936.67,0,866.8033,90,26271.67,0,912.4363,78,26937.4,0,799.7419,95,28927,0,878.7723,93,26772.23,0,932.2513,74
LOW_STRINGENCY_HYB,1980167,9548.425,0,398.5594,117,8692.851,0,322.877,99,8461.069,0,316.4142,111,9805.741,0,338.7881,104,8393.997,0,256.3582,125,9578.155,0,361.0364,141,11729.24,0,451.9761,126,11284.61,0,434.0022,120
